latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.625,25.1875,442.0,10800,Europe/Sofia,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),precipitation_probability (%),wind_speed_10m (km/h),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),soil_moisture_3_to_9cm (m³/m³),soil_moisture_9_to_27cm (m³/m³),soil_temperature_0cm (°C),soil_temperature_6cm (°C),soil_temperature_18cm (°C)
2025-08-18T07:00,20.2,60,0.00,11,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T08:00,22.7,52,0.00,11,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T09:00,25.3,44,0.00,10,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T10:00,28.0,37,0.00,10,5.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T11:00,30.7,31,0.00,9,8.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T12:00,33.1,25,0.00,9,10.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T13:00,35.2,20,0.00,9,13.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T14:00,37.0,17,0.00,9,17.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T15:00,37.7,15,0.00,10,17.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T16:00,36.9,16,0.00,12,8.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T17:00,35.1,18,0.00,15,7.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T18:00,32.9,22,0.00,17,15.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T19:00,30.4,27,0.00,19,13.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T20:00,27.5,32,0.00,22,6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T21:00,25.1,37,0.00,23,3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T22:00,23.8,40,0.00,22,2.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-18T23:00,23.1,43,0.00,21,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T00:00,22.4,46,0.00,19,9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T01:00,21.5,50,0.00,17,9.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T02:00,20.7,53,0.00,15,9.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T03:00,19.9,56,0.00,13,8.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T04:00,19.0,59,0.00,11,9.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T05:00,18.2,60,0.00,10,9.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T06:00,18.3,59,0.00,9,9.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T07:00,19.8,52,0.00,8,9.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T08:00,22.2,42,0.00,7,9.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T09:00,24.6,34,0.00,6,9.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T10:00,26.8,29,0.00,5,9.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T11:00,29.0,26,0.00,3,9.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T12:00,30.8,24,0.00,2,10.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T13:00,32.3,22,0.00,1,11.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T14:00,33.4,21,0.00,0,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T15:00,33.8,20,0.00,0,14.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T16:00,33.3,20,0.00,1,15.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T17:00,32.1,22,0.00,3,19.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T18:00,30.6,24,0.00,5,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T19:00,29.0,26,0.00,7,20.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T20:00,27.0,29,0.00,9,16.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T21:00,24.9,35,0.00,10,13.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T22:00,22.4,47,0.20,9,12.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-19T23:00,19.8,61,0.20,8,12.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN

time,sunrise (iso8601),sunset (iso8601),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²),precipitation_probability_max (%),uv_index_max (),uv_index_clear_sky_max (),daylight_duration (s),sunshine_duration (s)
2025-08-06,2025-08-06T06:16,2025-08-06T20:33,15.6,17.02,13,6.80,7.20,51421.66,32744.06
2025-08-07,2025-08-07T06:17,2025-08-07T20:32,17.7,21.74,8,7.15,7.15,51279.48,46800.00
2025-08-08,2025-08-08T06:18,2025-08-08T20:30,15.0,24.90,0,7.15,7.15,51135.96,46800.00
2025-08-09,2025-08-09T06:19,2025-08-09T20:29,13.2,27.05,0,7.20,7.20,50991.24,46814.00
2025-08-10,2025-08-10T06:20,2025-08-10T20:28,14.0,26.31,0,7.20,7.20,50845.45,47432.41
2025-08-11,2025-08-11T06:21,2025-08-11T20:26,13.9,26.55,0,6.95,6.95,50698.72,47372.68
2025-08-12,2025-08-12T06:23,2025-08-12T20:25,16.6,26.52,0,6.90,6.90,50551.16,47298.72
2025-08-13,2025-08-13T06:24,2025-08-13T20:24,23.7,24.14,6,6.90,6.90,50402.90,47245.22
2025-08-14,2025-08-14T06:25,2025-08-14T20:22,19.8,24.81,3,6.85,6.85,50254.06,46802.85
2025-08-15,2025-08-15T06:26,2025-08-15T20:21,20.1,24.60,10,6.85,6.85,50104.63,46689.94
2025-08-16,2025-08-16T06:27,2025-08-16T20:19,18.1,19.99,17,6.45,6.80,49953.54,37785.75
2025-08-17,2025-08-17T06:28,2025-08-17T20:18,15.3,22.38,16,6.60,6.75,49800.59,46372.55
2025-08-18,2025-08-18T06:29,2025-08-18T20:16,17.8,23.85,23,6.75,6.75,49645.94,46225.41
2025-08-19,2025-08-19T06:30,2025-08-19T20:15,22.0,23.74,19,6.70,6.70,49489.72,46076.59
